pattern,normalized
[ZipLOCK]*,[ZipLOCK]
*.#,.#
*.#~~~,.#~~~
*.~~~~,.~~~~
*.$anta,.$anta
*.0000,.0000
*.000G,.000G
*.007,.007
*.010001,.010001
*.01flip,.01flip
027cc450ef5f8c5f653329641ec1fed9*.*,027cc450ef5f8c5f653329641ec1fed9.
*.03rK,.03rK
*.0402,.0402
*.08kJA,.08kJA
*.0.cs,.0.cs
*.0apt,.0apt
*.0D34E0,.0D34E0
*.0day,.0day
*.0day0,.0day0
*.0kilobypt,.0kilobypt
*.0l0lqq,.0l0lqq
*.0.locked,.0.locked
*.0mega,.0mega
*0nl1ne*,0nl1ne
*.0riz0n,.0riz0n
*.0.vb,.0.vb
*.0wn3dyou,.0wn3dyou
*.0x0,.0x0
*.0x004867,.0x004867
*.0x009d8a,.0x009d8a
*.0x0M4R,.0x0M4R
*.0x6A0C8,.0x6A0C8
*.0xxx,.0xxx
*.101,.101
*.111111,.111111
*.1337,.1337
*.14x,.14x
*.1500dollars,.1500dollars
*.16x,.16x
*.1999,.1999
*.1admin,.1admin
*.1be018,.1be018
*.1beo18,.1beo18
*.1btc,.1btc
*.1c,.1c
*.1cbu1,.1cbu1
*.1dec,.1dec
*.1dex,.1dex
*.1iyT6bav7VyWM5,.1iyT6bav7VyWM5
*.1more,.1more
*.1txt,.1txt
*.1whya,.1whya
*.1ywsmbo4,.1ywsmbo4
*.2000USD,.2000USD
*.2020,.2020
*.2020END,.2020END
*.2023,.2023
*.2048,.2048
*.20dfs,.20dfs
*.2122,.2122
*.21btc,.21btc
*.22btc,.22btc
*.24H,.24H
*.247_davidhasselhoff,.247_davidhasselhoff
*.247_dennisthehitman,.247_dennisthehitman
*.247_haroldsquarepants,.247_haroldsquarepants
*.259,.259
*.2700,.2700
*.2admin,.2admin
*.2cXpCihgsVxB3,.2cXpCihgsVxB3
*.2DA-1FF-401,.2DA-1FF-401
*.2du1mj8,.2du1mj8
*.2ed2,.2ed2
*.2heRi1,.2heRi1
*.2k19,.2k19
*.2k19sys,.2k19sys
*.2lwnPp2B,.2lwnPp2B
*.2new,.2new
*.2ourt0,.2ourt0
*.2QZ3,.2QZ3
*.2spyware,.2spyware
*.2x2d,.2x2d
*.2xx9,.2xx9
*.31342E30362E32303136*,.31342E30362E32303136
*.32aa,.32aa
*.3301,.3301
*.34678,.34678
*.34r7hGr455,.34r7hGr455
*.34v,.34v
*.35RUT,.35RUT
*.360,.360
*.3674AD9F-5958-4F2A-5CB7-F0F56A8885EA,.3674AD9F-5958-4F2A-5CB7-F0F56A8885EA
*.3admin,.3admin
*.3nCRY,.3nCRY
*.3ncrypt3d,.3ncrypt3d
*.3P7m,.3P7m
*.3RNu,.3RNu
*.3v3r1s,.3v3r1s
*.4035,.4035
*.449o43,.449o43
*.46d7k,.46d7k
*.46orz,.46orz
*.490,.490
*.491,.491
*.492,.492
*.4AGcf,.4AGcf
*.4k,.4k
*.4o4,.4o4
*.4rg-d4m-rs6,.4rg-d4m-rs6
*.4rw5w,.4rw5w
*.4rwcry4w,.4rwcry4w
*.4x82N,.4x82N
*.505,.505
*.509a49,.509a49
*.51yupKSuX,.51yupKSuX
*.52pojie,.52pojie
*.54bb47h,.54bb47h
*.564ba1,.564ba1
*.59d49,.59d49
*.5ss5c,.5ss5c
*.619-300-6500,.619-300-6500
*.61yhi,.61yhi
*.62IX,.62IX
*.63vc4,.63vc4
*.666,.666
*.666decrypt666,.666decrypt666
*.686l0tek69,.686l0tek69
*.69,.69
*.6be31,.6be31
*.6db8,.6db8
*.6FKR8d,.6FKR8d
*.6ix9,.6ix9
*.6y8dghklp,.6y8dghklp
*.707,.707
*.725,.725
*.726,.726
*.7303yt,.7303yt
*.73i87A,.73i87A
*.777,.777
*.7ev3n,.7ev3n
*.7h9r,.7h9r
*.7jo22z5m,.7jo22z5m
*.7z.encrypted,.7z.encrypted
*.7zipper,.7zipper
*.82a80,.82a80
*.82uqjb1k5*,.82uqjb1k5
*.8637,.8637
*.8800,.8800
*.888,.888
*.8base,.8base
*.8be1,.8be1
*.8c7f,.8c7f
*.8lock8,.8lock8
*.8xUsq62,.8xUsq62
*.9062,.9062
*.911,.911
*.96e2,.96e2
*.9ECFA84E,.9ECFA84E
*.a0a82d,.a0a82d
*.a19,.a19
*.a5zfn,.a5zfn
*.A604AF9070,.A604AF9070
*.a6f2t,.a6f2t
*.a800,.a800
*.A95436@YA.RU,.A95436@YA.RU
*.a990,.a990
*.A9V9AHU4,.A9V9AHU4
*.aa1,.aa1
*.aaa,.aaa
*.aaabbbccc,.aaabbbccc
*.aabn,.aabn
*.aajf,.aajf
*.aamv,.aamv
*.aawt,.aawt
*.aayu,.aayu
*.AB89,.AB89
*.abarcy,.abarcy
*.abat,.abat
*ABAT*INFO*.*,ABATINFO.
*.abc,.abc
*.abcd,.abcd
*.ABCDEF,.ABCDEF
*.ABCLocker,.ABCLocker
*.abiyq,.abiyq
*.abkir,.abkir
*.abstergo,.abstergo
*.Abyss,.Abyss
*.acc,.acc
*.ACCDFISA,.ACCDFISA
*.accuj,.accuj
*.acepy,.acepy
*.acessd,.acessd
*.actin,.actin
*.Acton,.Acton
*.actor,.actor
*.ACTUM,.ACTUM
*.acuf2,.acuf2
*.Acuff,.Acuff
*.acuna,.acuna
*.acute,.acute
*.adage,.adage
*.adair,.adair
*.adam,.adam
*.adame,.adame
*.AdamLocker,.AdamLocker
*.adfuhbazi,.adfuhbazi
*.adhubllka,.adhubllka
*.adk,.adk
*.adlg,.adlg
*.admin1,.admin1
*.admin2,.admin2
*.admin3,.admin3
*.ADMIN@BADADMIN.XYZ,.ADMIN@BADADMIN.XYZ
*.ADMON,.ADMON
*.adobe,.adobe
*.adobee,.adobee
*adobe.gefest,adobe.gefest
*.AdolfHitler,.AdolfHitler
*.adr,.adr
*@adsoleware.com*,@adsoleware.com
*.adv,.adv
*.adventurer,.adventurer
*.adver,.adver
*.adww,.adww
*.aep,.aep
*.AeR,.AeR
*.aeroware,.aeroware
*.AES,.AES
*.aes_ni,.aes_ni
*.aes_ni_0day,.aes_ni_0day
*.aes_ni_gov,.aes_ni_gov
*.aes128ctr,.aes128ctr
*.AES256,.AES256
*.AES256-06,.AES256-06
*.aescrypt,.aescrypt
*.aesir,.aesir
*.aes.JANELLE,.aes.JANELLE
*.AES_KEY_GEN_ASSIST,.AES_KEY_GEN_ASSIST
*.AES-Matrix,.AES-Matrix
*.AESRT,.AESRT
*.aeur,.aeur
*.AFD,.AFD
*.afhsngy,.afhsngy
*.afire,.afire
*.Afrodita,.Afrodita
*.ag88g,.ag88g
*.aga,.aga
*.again,.again
*.age,.age
*.AgeLocker,.AgeLocker
*.agho,.agho
*.aghz,.aghz
*.agpo,.agpo
*.agvv,.agvv
*.ahegao,.ahegao
*.ahgr,.ahgr
*.ahp,.ahp
*.ahtw,.ahtw
*.ahui,.ahui
*.aim,.aim
*.air,.air
*._AiraCropEncrypted,._AiraCropEncrypted
*.airacropencrypted!,.airacropencrypted!
*@airmail.cc,@airmail.cc
*.akaibvn,.akaibvn
*.akira,.akira
*.ako,.ako
*.aksx,.aksx
*.al1b1nal1,.al1b1nal1
*.al8p,.al8p
*.Alcatraz,.Alcatraz
*.aleta,.aleta
*.Alfa,.Alfa
*.AlfaBlock,.AlfaBlock
*.Alice,.Alice
*.alien,.alien
*.Alienlock,.Alienlock
*.alilibat,.alilibat
*.Alix1011RVA,.Alix1011RVA
*.alka,.alka
*.Alkohol,.Alkohol
*.allahuakbar,.allahuakbar
*.allarich,.allarich
*.allciphered*,.allciphered
*.allcry,.allcry
*.allock*,.allock
*.Al-Namrood,.Al-Namrood
*.ALNBR,.ALNBR
*.alock,.alock
*.alosia,.alosia
*.Alpha,.Alpha
*.Alphaware,.Alphaware
*.altdelete@cock.li.district,.altdelete@cock.li.district
*.alumni,.alumni
*.ALVIN,.ALVIN
*.am,.am
*.amba,.amba
*.amber,.amber
*.Amelia,.Amelia
*.ameriwasted,.ameriwasted
*.ameriwasted_info,.ameriwasted_info
*.Amigo,.Amigo
*.AMJIXIUS,.AMJIXIUS
*.amnesia,.amnesia
*.Amnesia2,.Amnesia2
*.amogus,.amogus
*.anami,.anami
*.Anatova,.Anatova
*.andonio,.andonio
*.android,.android
*.andymarvin,.andymarvin
*.angelamerkel,.angelamerkel
*.angleware,.angleware
*.Angry,.Angry
*.AngryDuck,.AngryDuck
*.AnGrYTuRkEy,.AnGrYTuRkEy
*.angus,.angus
*.anigma,.anigma
*.animus,.animus
*.anin_by,.anin_by
*.ann,.ann
*.Annabelle,.Annabelle
*.Annabelle2,.Annabelle2
*.annoy,.annoy
*.anon,.anon
*.anon_by,.anon_by
*.anon000,.anon000
*.anontsugumi,.anontsugumi
*.anonymous,.anonymous
*.AnonymousFrance,.AnonymousFrance
*.anta,.anta
*.AnteFrigus,.AnteFrigus
*.Anthraxbulletproof,.Anthraxbulletproof
*.anti-us,.anti-us
*.antihacker2017,.antihacker2017
*.Antivirus,.Antivirus
*.anubi,.anubi
*.anubis,.anubis
*.AnubisCrypt,.AnubisCrypt
*.aol,.aol
*@aol.com,@aol.com
*.ap19,.ap19
*.apex,.apex
*.apis,.apis
*.apocalypse,.apocalypse
*.ApocalypseVM,.ApocalypseVM
*.ApolloLocker,.ApolloLocker
*.apollon865,.apollon865
*.APT14CHIR,.APT14CHIR
*.aptlock,.aptlock
*.aqva,.aqva
*.ara,.ara
*.Arachna,.Arachna
*.araicrypt,.araicrypt
*.aram,.aram
*.arazite,.arazite
*.arch,.arch
*.architects,.architects
*.Arcus,.Arcus
*.area,.area
*.arena,.arena
*.AresCrypt,.AresCrypt
*.areyoulovemyrans,.areyoulovemyrans
*.Argus,.Argus
*.aris,.aris
*.armadilo1,.armadilo1
*.armage,.armage
*.ArmaLocky,.ArmaLocky
*.arpt,.arpt
*.arrepiante,.arrepiante
*.arrow,.arrow
*.Arsium,.Arsium
*.Artemis,.Artemis
*.Artemis865-20,.Artemis865-20
*.artemy,.artemy
*.artilkilin@tuta.io.wq2k,.artilkilin@tuta.io.wq2k
*.asasin,.asasin
*.asd,.asd
*.asdasdasd,.asdasdasd
*.asdgahgahgf,.asdgahgahgf
*.ash,.ash
*.ASN1,.ASN1
*.assm,.assm
*.AstraLocker,.AstraLocker
*.asulo,.asulo
*.asus,.asus
*.asyl,.asyl
*.Ataware,.Ataware
*.Atchbo,.Atchbo
*.Athena865,.Athena865
*.atlas,.atlas
*.Atom,.Atom
*.atomic,.atomic
*.ATOMSILO,.ATOMSILO
*.ATOMSILOR,.ATOMSILOR
*.attack7,.attack7
*.attackfiles,.attackfiles
*.attacknew*,.attacknew
*.attacksystem,.attacksystem
*.attackuk,.attackuk
*.au1crypt,.au1crypt
*.audit,.audit
*.auf,.auf
*.aulmhwpbpz,.aulmhwpbpz
*.Aurora,.Aurora
*.auto,.auto
*.AutoLocky,.AutoLocky
*.AutoWannaCryV2,.AutoWannaCryV2
*.auw2w2g0,.auw2w2g0
*.Avaad,.Avaad
*.avaddon,.avaddon
*.avan,.avan
*.AVco3,.AVco3
*.AVCrypt,.AVCrypt
*.avdn,.avdn
*.Avest,.Avest
*.AvGhost,.AvGhost
*.avos,.avos
*.avos2,.avos2
*.avyu,.avyu
*.AW46,.AW46
*.awt,.awt
*.axcrypter,.axcrypter
*.axi,.axi
*.axx,.axx
*.axxes,.axxes
*.aye,.aye
*.az,.az
*.aZaZeL,.aZaZeL
*.azer,.azer
*.azero,.azero
*.azhi,.azhi
*.azop,.azop
*.azor,.azor
*.azov,.azov
*.azqt,.azqt
*.AzzaSec,.AzzaSec
*.B-Panther,.B-Panther
*.b00m,.b00m
